,country,year,sex,age,suicides_no,population
113,Albania,1994,female,75+ years,2.0,39900.0
114,Albania,1994,male,15-24 years,6.0,242200.0
115,Albania,1994,male,25-34 years,6.0,231400.0
116,Albania,1994,male,35-54 years,9.0,362800.0
117,Albania,1994,male,5-14 years,1.0,371800.0
118,Albania,1994,male,55-74 years,11.0,171400.0
119,Albania,1994,male,75+ years,2.0,24600.0
120,Albania,1995,female,15-24 years,13.0,283500.0
121,Albania,1995,female,25-34 years,7.0,264000.0
122,Albania,1995,female,35-54 years,8.0,356400.0
123,Albania,1995,female,5-14 years,2.0,348700.0
124,Albania,1995,female,55-74 years,2.0,180400.0
125,Albania,1995,female,75+ years,2.0,40800.0
126,Albania,1995,male,15-24 years,11.0,241200.0
127,Albania,1995,male,25-34 years,13.0,232900.0
128,Albania,1995,male,35-54 years,14.0,375900.0
129,Albania,1995,male,5-14 years,6.0,376500.0
130,Albania,1995,male,55-74 years,9.0,178000.0
131,Albania,1995,male,75+ years,1.0,25100.0
132,Albania,1996,female,15-24 years,16.0,287700.0
133,Albania,1996,female,25-34 years,10.0,267900.0
134,Albania,1996,female,35-54 years,9.0,362000.0
135,Albania,1996,female,5-14 years,1.0,354100.0
136,Albania,1996,female,55-74 years,1.0,183100.0
137,Albania,1996,female,75+ years,2.0,41200.0
138,Albania,1996,male,15-24 years,17.0,243600.0
139,Albania,1996,male,25-34 years,14.0,235300.0
140,Albania,1996,male,35-54 years,12.0,379600.0
141,Albania,1996,male,5-14 years,2.0,380400.0
142,Albania,1996,male,55-74 years,3.0,179900.0
143,Albania,1996,male,75+ years,2.0,25400.0
144,Albania,1997,female,15-24 years,21.0,294000.0
145,Albania,1997,female,25-34 years,16.0,273900.0
146,Albania,1997,female,35-54 years,7.0,370100.0
147,Albania,1997,female,5-14 years,6.0,361800.0
148,Albania,1997,female,55-74 years,0.0,187000.0
149,Albania,1997,female,75+ years,2.0,42100.0
150,Albania,1997,male,15-24 years,33.0,244400.0
151,Albania,1997,male,25-34 years,36.0,236000.0
152,Albania,1997,male,35-54 years,30.0,380800.0
153,Albania,1997,male,5-14 years,4.0,381500.0
154,Albania,1997,male,55-74 years,12.0,180300.0
155,Albania,1997,male,75+ years,3.0,25400.0
156,Albania,1998,female,15-24 years,32.0,295600.0
157,Albania,1998,female,25-34 years,10.0,275300.0
158,Albania,1998,female,35-54 years,9.0,372100.0
159,Albania,1998,female,5-14 years,1.0,363800.0
160,Albania,1998,female,55-74 years,6.0,188200.0
161,Albania,1998,female,75+ years,0.0,42300.0
162,Albania,1998,male,15-24 years,27.0,248800.0
163,Albania,1998,male,25-34 years,26.0,240400.0
164,Albania,1998,male,35-54 years,29.0,388200.0
165,Albania,1998,male,5-14 years,2.0,388400.0
166,Albania,1998,male,55-74 years,9.0,183800.0
167,Albania,1998,male,75+ years,3.0,25800.0
