,country,year,sex,age,suicides_no,population
15017,French Guiana,2005,female,75+ years,0.0,1755.0
15018,French Guiana,2005,male,15-24 years,2.0,16492.0
15019,French Guiana,2005,male,25-34 years,1.0,13924.0
15020,French Guiana,2005,male,35-54 years,9.0,24486.0
15021,French Guiana,2005,male,5-14 years,0.0,23380.0
15022,French Guiana,2005,male,55-74 years,1.0,7678.0
15023,French Guiana,2005,male,75+ years,1.0,1218.0
15024,French Guiana,2006,female,15-24 years,1.0,17546.0
15025,French Guiana,2006,female,25-34 years,1.0,16420.0
15026,French Guiana,2006,female,35-54 years,1.0,25738.0
15027,French Guiana,2006,female,5-14 years,0.0,23481.0
15028,French Guiana,2006,female,55-74 years,0.0,7560.0
15029,French Guiana,2006,female,75+ years,0.0,1874.0
15030,French Guiana,2006,male,15-24 years,0.0,17111.0
15031,French Guiana,2006,male,25-34 years,3.0,14551.0
15032,French Guiana,2006,male,35-54 years,4.0,25035.0
15033,French Guiana,2006,male,5-14 years,1.0,23768.0
15034,French Guiana,2006,male,55-74 years,2.0,8126.0
15035,French Guiana,2006,male,75+ years,0.0,1300.0
15036,French Guiana,2007,female,15-24 years,2.0,17969.0
15037,French Guiana,2007,female,25-34 years,3.0,16868.0
15038,French Guiana,2007,female,35-54 years,2.0,26367.0
15039,French Guiana,2007,female,5-14 years,1.0,23822.0
15040,French Guiana,2007,female,55-74 years,0.0,8082.0
15041,French Guiana,2007,female,75+ years,0.0,1980.0
15042,French Guiana,2007,male,15-24 years,3.0,17569.0
15043,French Guiana,2007,male,25-34 years,3.0,15188.0
15044,French Guiana,2007,male,35-54 years,6.0,25616.0
15045,French Guiana,2007,male,5-14 years,2.0,24267.0
15046,French Guiana,2007,male,55-74 years,1.0,8597.0
15047,French Guiana,2007,male,75+ years,0.0,1376.0
15048,French Guiana,2008,female,15-24 years,0.0,18149.0
15049,French Guiana,2008,female,25-34 years,2.0,17369.0
15050,French Guiana,2008,female,35-54 years,3.0,26872.0
15051,French Guiana,2008,female,5-14 years,0.0,24199.0
15052,French Guiana,2008,female,55-74 years,0.0,8623.0
15053,French Guiana,2008,female,75+ years,0.0,2074.0
15054,French Guiana,2008,male,15-24 years,5.0,17897.0
15055,French Guiana,2008,male,25-34 years,2.0,15805.0
15056,French Guiana,2008,male,35-54 years,5.0,26274.0
15057,French Guiana,2008,male,5-14 years,0.0,24897.0
15058,French Guiana,2008,male,55-74 years,2.0,9086.0
15059,French Guiana,2008,male,75+ years,1.0,1454.0
15060,French Guiana,2009,female,15-24 years,1.0,18189.0
15061,French Guiana,2009,female,25-34 years,3.0,17911.0
15062,French Guiana,2009,female,35-54 years,1.0,27387.0
15063,French Guiana,2009,female,5-14 years,0.0,24703.0
15064,French Guiana,2009,female,55-74 years,0.0,9191.0
15065,French Guiana,2009,female,75+ years,0.0,2164.0
15066,French Guiana,2009,male,15-24 years,2.0,18131.0
15067,French Guiana,2009,male,25-34 years,3.0,16379.0
15068,French Guiana,2009,male,35-54 years,4.0,27053.0
15069,French Guiana,2009,male,5-14 years,0.0,25649.0
15070,French Guiana,2009,male,55-74 years,0.0,9579.0
15071,French Guiana,2009,male,75+ years,2.0,1515.0
15072,French Guiana,2010,female,15-24 years,3.0,18209.0
15073,French Guiana,2010,female,25-34 years,0.0,18444.0
15074,French Guiana,2010,female,35-54 years,1.0,28022.0
15075,French Guiana,2010,female,5-14 years,0.0,25370.0
15076,French Guiana,2010,female,55-74 years,0.0,9785.0
15077,French Guiana,2010,female,75+ years,1.0,2245.0
15078,French Guiana,2010,male,15-24 years,2.0,18337.0
15079,French Guiana,2010,male,25-34 years,4.0,16847.0
15080,French Guiana,2010,male,35-54 years,5.0,27991.0
15081,French Guiana,2010,male,5-14 years,0.0,26487.0
15082,French Guiana,2010,male,55-74 years,0.0,10070.0
15083,French Guiana,2010,male,75+ years,0.0,1570.0
15084,French Guiana,2011,female,15-24 years,3.0,19022.0
15085,French Guiana,2011,female,25-34 years,1.0,18823.0
15086,French Guiana,2011,female,35-54 years,1.0,29009.0
15087,French Guiana,2011,female,5-14 years,0.0,26454.0
15088,French Guiana,2011,female,55-74 years,1.0,10544.0
15089,French Guiana,2011,female,75+ years,0.0,2264.0
15090,French Guiana,2011,male,15-24 years,2.0,19099.0
15091,French Guiana,2011,male,25-34 years,4.0,16503.0
15092,French Guiana,2011,male,35-54 years,4.0,28412.0
15093,French Guiana,2011,male,5-14 years,2.0,27676.0
15094,French Guiana,2011,male,55-74 years,3.0,10852.0
15095,French Guiana,2011,male,75+ years,0.0,1606.0
15096,French Guiana,2012,female,15-24 years,1.0,19699.0
15097,French Guiana,2012,female,25-34 years,2.0,18314.0
15098,French Guiana,2012,female,35-54 years,0.0,29868.0
15099,French Guiana,2012,female,5-14 years,1.0,26762.0
15100,French Guiana,2012,female,55-74 years,0.0,11307.0
15101,French Guiana,2012,female,75+ years,0.0,2278.0
15102,French Guiana,2012,male,15-24 years,4.0,20170.0
15103,French Guiana,2012,male,25-34 years,5.0,16770.0
15104,French Guiana,2012,male,35-54 years,1.0,29749.0
15105,French Guiana,2012,male,5-14 years,1.0,28020.0
15106,French Guiana,2012,male,55-74 years,3.0,11409.0
15107,French Guiana,2012,male,75+ years,1.0,1560.0
15108,French Guiana,2013,female,15-24 years,4.0,20597.0
15109,French Guiana,2013,female,25-34 years,1.0,18274.0
15110,French Guiana,2013,female,35-54 years,0.0,30848.0
15111,French Guiana,2013,female,5-14 years,0.0,27479.0
15112,French Guiana,2013,female,55-74 years,0.0,12155.0
15113,French Guiana,2013,female,75+ years,0.0,2296.0
15114,French Guiana,2013,male,15-24 years,6.0,21149.0
15115,French Guiana,2013,male,25-34 years,2.0,16803.0
15116,French Guiana,2013,male,35-54 years,4.0,30641.0
15117,French Guiana,2013,male,5-14 years,0.0,28747.0
15118,French Guiana,2013,male,55-74 years,2.0,12123.0
15119,French Guiana,2013,male,75+ years,0.0,1562.0
15120,French Guiana,2014,female,15-24 years,2.0,21494.0
15121,French Guiana,2014,female,25-34 years,1.0,18299.0
15122,French Guiana,2014,female,35-54 years,1.0,31833.0
15123,French Guiana,2014,female,5-14 years,0.0,28173.0
15124,French Guiana,2014,female,55-74 years,0.0,13000.0
15125,French Guiana,2014,female,75+ years,0.0,2350.0
15126,French Guiana,2014,male,15-24 years,3.0,22109.0
15127,French Guiana,2014,male,25-34 years,1.0,16939.0
15128,French Guiana,2014,male,35-54 years,4.0,31479.0
15129,French Guiana,2014,male,5-14 years,2.0,29444.0
15130,French Guiana,2014,male,55-74 years,0.0,12864.0
15131,French Guiana,2014,male,75+ years,1.0,1575.0
15132,Georgia,1981,female,15-24 years,8.0,454200.0
15133,Georgia,1981,female,25-34 years,12.0,376500.0
15134,Georgia,1981,female,35-54 years,20.0,670500.0
15135,Georgia,1981,female,5-14 years,0.0,426500.0
15136,Georgia,1981,female,55-74 years,26.0,441300.0
15137,Georgia,1981,female,75+ years,14.0,113500.0
15138,Georgia,1981,male,15-24 years,29.0,456900.0
15139,Georgia,1981,male,25-34 years,44.0,346000.0
15140,Georgia,1981,male,35-54 years,81.0,609800.0
15141,Georgia,1981,male,5-14 years,1.0,437600.0
15142,Georgia,1981,male,55-74 years,54.0,261900.0
15143,Georgia,1981,male,75+ years,20.0,56600.0
15144,Georgia,1982,female,15-24 years,10.0,451900.0
15145,Georgia,1982,female,25-34 years,11.0,389200.0
15146,Georgia,1982,female,35-54 years,19.0,663600.0
15147,Georgia,1982,female,5-14 years,0.0,425300.0
15148,Georgia,1982,female,55-74 years,26.0,452600.0
15149,Georgia,1982,female,75+ years,4.0,116100.0
15150,Georgia,1982,male,15-24 years,30.0,456000.0
15151,Georgia,1982,male,25-34 years,23.0,357900.0
15152,Georgia,1982,male,35-54 years,68.0,601700.0
15153,Georgia,1982,male,5-14 years,0.0,437200.0
15154,Georgia,1982,male,55-74 years,51.0,278100.0
15155,Georgia,1982,male,75+ years,17.0,56800.0
15156,Georgia,1983,female,15-24 years,,445500.0
15157,Georgia,1983,female,25-34 years,,403800.0
15158,Georgia,1983,female,35-54 years,,656600.0
15159,Georgia,1983,female,5-14 years,,425300.0
15160,Georgia,1983,female,55-74 years,,472000.0
15161,Georgia,1983,female,75+ years,,120600.0
15162,Georgia,1983,male,15-24 years,,450000.0
15163,Georgia,1983,male,25-34 years,,374300.0
15164,Georgia,1983,male,35-54 years,,593700.0
15165,Georgia,1983,male,5-14 years,,438300.0
15166,Georgia,1983,male,55-74 years,,304100.0
15167,Georgia,1983,male,75+ years,,57700.0
15168,Georgia,1985,female,15-24 years,5.0,435900.0
15169,Georgia,1985,female,25-34 years,10.0,418200.0
15170,Georgia,1985,female,35-54 years,16.0,652700.0
15171,Georgia,1985,female,5-14 years,0.0,426000.0
15172,Georgia,1985,female,55-74 years,27.0,490200.0
15173,Georgia,1985,female,75+ years,15.0,125100.0
15174,Georgia,1985,male,15-24 years,21.0,440600.0
15175,Georgia,1985,male,25-34 years,27.0,392600.0
15176,Georgia,1985,male,35-54 years,63.0,589500.0
15177,Georgia,1985,male,5-14 years,0.0,439300.0
15178,Georgia,1985,male,55-74 years,41.0,327400.0
15179,Georgia,1985,male,75+ years,14.0,58600.0
15180,Georgia,1986,female,15-24 years,3.0,427700.0
15181,Georgia,1986,female,25-34 years,6.0,429300.0
15182,Georgia,1986,female,35-54 years,30.0,655900.0
15183,Georgia,1986,female,5-14 years,2.0,426200.0
15184,Georgia,1986,female,55-74 years,21.0,497400.0
15185,Georgia,1986,female,75+ years,12.0,127300.0
15186,Georgia,1986,male,15-24 years,18.0,433000.0
15187,Georgia,1986,male,25-34 years,29.0,405000.0
15188,Georgia,1986,male,35-54 years,60.0,592200.0
15189,Georgia,1986,male,5-14 years,1.0,440200.0
15190,Georgia,1986,male,55-74 years,42.0,338900.0
15191,Georgia,1986,male,75+ years,14.0,59100.0
15192,Georgia,1987,female,15-24 years,11.0,420600.0
15193,Georgia,1987,female,25-34 years,6.0,440600.0
15194,Georgia,1987,female,35-54 years,20.0,658800.0
15195,Georgia,1987,female,5-14 years,0.0,426400.0
15196,Georgia,1987,female,55-74 years,23.0,504500.0
15197,Georgia,1987,female,75+ years,12.0,129800.0
15198,Georgia,1987,male,15-24 years,11.0,427400.0
15199,Georgia,1987,male,25-34 years,29.0,414300.0
15200,Georgia,1987,male,35-54 years,59.0,595600.0
15201,Georgia,1987,male,5-14 years,3.0,441200.0
15202,Georgia,1987,male,55-74 years,39.0,350500.0
15203,Georgia,1987,male,75+ years,13.0,59700.0
15204,Georgia,1988,female,15-24 years,4.0,414800.0
15205,Georgia,1988,female,25-34 years,4.0,451400.0
15206,Georgia,1988,female,35-54 years,15.0,661100.0
15207,Georgia,1988,female,5-14 years,0.0,427500.0
15208,Georgia,1988,female,55-74 years,35.0,513100.0
15209,Georgia,1988,female,75+ years,8.0,131800.0
15210,Georgia,1988,male,15-24 years,23.0,423400.0
15211,Georgia,1988,male,25-34 years,31.0,422800.0
15212,Georgia,1988,male,35-54 years,57.0,599400.0
15213,Georgia,1988,male,5-14 years,1.0,443000.0
15214,Georgia,1988,male,55-74 years,37.0,362200.0
15215,Georgia,1988,male,75+ years,14.0,60300.0
15216,Georgia,1989,female,15-24 years,8.0,406800.0
15217,Georgia,1989,female,25-34 years,9.0,458400.0
15218,Georgia,1989,female,35-54 years,14.0,667700.0
15219,Georgia,1989,female,5-14 years,0.0,429400.0
15220,Georgia,1989,female,55-74 years,34.0,517400.0
15221,Georgia,1989,female,75+ years,11.0,135000.0
15222,Georgia,1989,male,15-24 years,26.0,418600.0
15223,Georgia,1989,male,25-34 years,23.0,428100.0
15224,Georgia,1989,male,35-54 years,63.0,605000.0
15225,Georgia,1989,male,5-14 years,0.0,445500.0
15226,Georgia,1989,male,55-74 years,46.0,370900.0
15227,Georgia,1989,male,75+ years,13.0,61400.0
15228,Georgia,1990,female,15-24 years,4.0,415850.0
15229,Georgia,1990,female,25-34 years,4.0,451450.0
15230,Georgia,1990,female,35-54 years,22.0,682450.0
15231,Georgia,1990,female,5-14 years,0.0,428500.0
15232,Georgia,1990,female,55-74 years,18.0,525250.0
15233,Georgia,1990,female,75+ years,8.0,136200.0
15234,Georgia,1990,male,15-24 years,23.0,424000.0
15235,Georgia,1990,male,25-34 years,23.0,422400.0
15236,Georgia,1990,male,35-54 years,44.0,616350.0
15237,Georgia,1990,male,5-14 years,0.0,444500.0
15238,Georgia,1990,male,55-74 years,36.0,377250.0
15239,Georgia,1990,male,75+ years,14.0,62200.0
15240,Georgia,1991,female,15-24 years,4.0,418300.0
15241,Georgia,1991,female,25-34 years,4.0,447700.0
15242,Georgia,1991,female,35-54 years,15.0,695100.0
15243,Georgia,1991,female,5-14 years,1.0,428250.0
15244,Georgia,1991,female,55-74 years,19.0,530000.0
15245,Georgia,1991,female,75+ years,8.0,138300.0
15246,Georgia,1991,male,15-24 years,12.0,425700.0
15247,Georgia,1991,male,25-34 years,20.0,418850.0
15248,Georgia,1991,male,35-54 years,38.0,626000.0
15249,Georgia,1991,male,5-14 years,0.0,444450.0
15250,Georgia,1991,male,55-74 years,44.0,382950.0
15251,Georgia,1991,male,75+ years,9.0,62950.0
15252,Georgia,1992,female,15-24 years,9.0,415550.0
15253,Georgia,1992,female,25-34 years,8.0,438250.0
15254,Georgia,1992,female,35-54 years,13.0,699000.0
15255,Georgia,1992,female,5-14 years,0.0,422700.0
15256,Georgia,1992,female,55-74 years,17.0,528300.0
15257,Georgia,1992,female,75+ years,6.0,138750.0
15258,Georgia,1992,male,15-24 years,18.0,422250.0
15259,Georgia,1992,male,25-34 years,26.0,410250.0
15260,Georgia,1992,male,35-54 years,46.0,628000.0
15261,Georgia,1992,male,5-14 years,0.0,438950.0
15262,Georgia,1992,male,55-74 years,51.0,383700.0
15263,Georgia,1992,male,75+ years,10.0,63000.0
15264,Georgia,1993,female,15-24 years,,396350.0
15265,Georgia,1993,female,25-34 years,,411650.0
15266,Georgia,1993,female,35-54 years,,657150.0
15267,Georgia,1993,female,5-14 years,,400650.0
15268,Georgia,1993,female,55-74 years,,523150.0
15269,Georgia,1993,female,75+ years,,133600.0
15270,Georgia,1993,male,15-24 years,,402050.0
15271,Georgia,1993,male,25-34 years,,385700.0
15272,Georgia,1993,male,35-54 years,,587050.0
15273,Georgia,1993,male,5-14 years,,416150.0
15274,Georgia,1993,male,55-74 years,,386350.0
15275,Georgia,1993,male,75+ years,,60500.0
15276,Georgia,1994,female,15-24 years,2.0,376100.0
15277,Georgia,1994,female,25-34 years,2.0,384600.0
15278,Georgia,1994,female,35-54 years,9.0,630750.0
15279,Georgia,1994,female,5-14 years,0.0,377700.0
15280,Georgia,1994,female,55-74 years,13.0,498750.0
15281,Georgia,1994,female,75+ years,7.0,127950.0
15282,Georgia,1994,male,15-24 years,15.0,380700.0
15283,Georgia,1994,male,25-34 years,13.0,360400.0
15284,Georgia,1994,male,35-54 years,21.0,561650.0
15285,Georgia,1994,male,5-14 years,0.0,392350.0
15286,Georgia,1994,male,55-74 years,38.0,370200.0
15287,Georgia,1994,male,75+ years,3.0,57750.0
15288,Georgia,1995,female,15-24 years,4.0,366950.0
15289,Georgia,1995,female,25-34 years,2.0,369450.0
15290,Georgia,1995,female,35-54 years,9.0,640250.0
15291,Georgia,1995,female,5-14 years,0.0,366100.0
15292,Georgia,1995,female,55-74 years,14.0,470750.0
15293,Georgia,1995,female,75+ years,3.0,126000.0
15294,Georgia,1995,male,15-24 years,14.0,370700.0
15295,Georgia,1995,male,25-34 years,18.0,346300.0
15296,Georgia,1995,male,35-54 years,34.0,570450.0
15297,Georgia,1995,male,5-14 years,1.0,380400.0
15298,Georgia,1995,male,55-74 years,35.0,346850.0
15299,Georgia,1995,male,75+ years,4.0,56650.0
15300,Georgia,1996,female,15-24 years,4.0,358400.0
15301,Georgia,1996,female,25-34 years,5.0,355300.0
15302,Georgia,1996,female,35-54 years,4.0,632650.0
15303,Georgia,1996,female,5-14 years,0.0,355350.0
15304,Georgia,1996,female,55-74 years,14.0,461300.0
15305,Georgia,1996,female,75+ years,11.0,124250.0
15306,Georgia,1996,male,15-24 years,9.0,361400.0
15307,Georgia,1996,male,25-34 years,20.0,333150.0
15308,Georgia,1996,male,35-54 years,45.0,562200.0
15309,Georgia,1996,male,5-14 years,1.0,369200.0
15310,Georgia,1996,male,55-74 years,40.0,341550.0
15311,Georgia,1996,male,75+ years,9.0,55600.0
15312,Georgia,1997,female,15-24 years,2.0,352400.0
15313,Georgia,1997,female,25-34 years,1.0,343900.0
15314,Georgia,1997,female,35-54 years,13.0,629400.0
15315,Georgia,1997,female,5-14 years,0.0,347150.0
15316,Georgia,1997,female,55-74 years,12.0,455100.0
15317,Georgia,1997,female,75+ years,7.0,123300.0
15318,Georgia,1997,male,15-24 years,22.0,354700.0
15319,Georgia,1997,male,25-34 years,22.0,322550.0
15320,Georgia,1997,male,35-54 years,38.0,557750.0
15321,Georgia,1997,male,5-14 years,2.0,360800.0
15322,Georgia,1997,male,55-74 years,49.0,338550.0
15323,Georgia,1997,male,75+ years,8.0,55000.0
15324,Georgia,1998,female,15-24 years,1.0,349600.0
15325,Georgia,1998,female,25-34 years,6.0,335700.0
15326,Georgia,1998,female,35-54 years,10.0,631600.0
15327,Georgia,1998,female,5-14 years,0.0,342150.0
15328,Georgia,1998,female,55-74 years,8.0,452900.0
15329,Georgia,1998,female,75+ years,5.0,123400.0
15330,Georgia,1998,male,15-24 years,21.0,351300.0
15331,Georgia,1998,male,25-34 years,15.0,315050.0
15332,Georgia,1998,male,35-54 years,37.0,558300.0
15333,Georgia,1998,male,5-14 years,0.0,355750.0
15334,Georgia,1998,male,55-74 years,39.0,338600.0
15335,Georgia,1998,male,75+ years,6.0,54900.0
15336,Georgia,1999,female,15-24 years,6.0,347650.0
15337,Georgia,1999,female,25-34 years,3.0,328400.0
15338,Georgia,1999,female,35-54 years,10.0,635050.0
15339,Georgia,1999,female,5-14 years,0.0,338050.0
15340,Georgia,1999,female,55-74 years,16.0,451750.0
15341,Georgia,1999,female,75+ years,7.0,123800.0
15342,Georgia,1999,male,15-24 years,10.0,348700.0
15343,Georgia,1999,male,25-34 years,37.0,308400.0
15344,Georgia,1999,male,35-54 years,38.0,560050.0
15345,Georgia,1999,male,5-14 years,0.0,351550.0
15346,Georgia,1999,male,55-74 years,52.0,339400.0
15347,Georgia,1999,male,75+ years,10.0,54950.0
15348,Georgia,2000,female,15-24 years,0.0,345650.0
15349,Georgia,2000,female,25-34 years,1.0,321150.0
15350,Georgia,2000,female,35-54 years,8.0,638350.0
15351,Georgia,2000,female,5-14 years,0.0,333900.0
15352,Georgia,2000,female,55-74 years,13.0,450650.0
15353,Georgia,2000,female,75+ years,6.0,124150.0
15354,Georgia,2000,male,15-24 years,8.0,346050.0
15355,Georgia,2000,male,25-34 years,15.0,301800.0
15356,Georgia,2000,male,35-54 years,33.0,561550.0
15357,Georgia,2000,male,5-14 years,0.0,347350.0
15358,Georgia,2000,male,55-74 years,39.0,340050.0
15359,Georgia,2000,male,75+ years,7.0,54950.0
15360,Georgia,2001,female,15-24 years,0.0,343450.0
15361,Georgia,2001,female,25-34 years,1.0,316400.0
15362,Georgia,2001,female,35-54 years,6.0,637700.0
15363,Georgia,2001,female,5-14 years,1.0,330600.0
15364,Georgia,2001,female,55-74 years,12.0,448550.0
15365,Georgia,2001,female,75+ years,7.0,124400.0
15366,Georgia,2001,male,15-24 years,8.0,343550.0
15367,Georgia,2001,male,25-34 years,11.0,297450.0
15368,Georgia,2001,male,35-54 years,23.0,560300.0
15369,Georgia,2001,male,5-14 years,0.0,344100.0
15370,Georgia,2001,male,55-74 years,27.0,339150.0
15371,Georgia,2001,male,75+ years,4.0,55300.0
15372,Georgia,2002,female,15-24 years,,343050.0
15373,Georgia,2002,female,25-34 years,,314900.0
15374,Georgia,2002,female,35-54 years,,635650.0
15375,Georgia,2002,female,5-14 years,,323800.0
15376,Georgia,2002,female,55-74 years,,444550.0
15377,Georgia,2002,female,75+ years,,127300.0
15378,Georgia,2002,male,15-24 years,,343900.0
15379,Georgia,2002,male,25-34 years,,295750.0
15380,Georgia,2002,male,35-54 years,,556600.0
15381,Georgia,2002,male,5-14 years,,337550.0
15382,Georgia,2002,male,55-74 years,,335900.0
15383,Georgia,2002,male,75+ years,,58800.0
15384,Georgia,2003,female,15-24 years,,344050.0
15385,Georgia,2003,female,25-34 years,,313750.0
15386,Georgia,2003,female,35-54 years,,636350.0
15387,Georgia,2003,female,5-14 years,,312150.0
15388,Georgia,2003,female,55-74 years,,439150.0
15389,Georgia,2003,female,75+ years,,134100.0
15390,Georgia,2003,male,15-24 years,,346150.0
15391,Georgia,2003,male,25-34 years,,294350.0
15392,Georgia,2003,male,35-54 years,,554050.0
15393,Georgia,2003,male,5-14 years,,326900.0
15394,Georgia,2003,male,55-74 years,,331500.0
15395,Georgia,2003,male,75+ years,,64400.0
15396,Georgia,2004,female,15-24 years,4.0,346000.0
15397,Georgia,2004,female,25-34 years,4.0,314250.0
15398,Georgia,2004,female,35-54 years,7.0,638600.0
15399,Georgia,2004,female,5-14 years,3.0,300250.0
15400,Georgia,2004,female,55-74 years,7.0,436650.0
15401,Georgia,2004,female,75+ years,3.0,139900.0
15402,Georgia,2004,male,15-24 years,13.0,349250.0
15403,Georgia,2004,male,25-34 years,29.0,296000.0
15404,Georgia,2004,male,35-54 years,56.0,554550.0
15405,Georgia,2004,male,5-14 years,4.0,316700.0
15406,Georgia,2004,male,55-74 years,28.0,329400.0
15407,Georgia,2004,male,75+ years,17.0,68300.0
15408,Georgia,2005,female,15-24 years,3.0,352750.0
15409,Georgia,2005,female,25-34 years,7.0,319300.0
15410,Georgia,2005,female,35-54 years,2.0,646500.0
15411,Georgia,2005,female,5-14 years,0.0,287150.0
15412,Georgia,2005,female,55-74 years,4.0,439250.0
15413,Georgia,2005,female,75+ years,2.0,147450.0
15414,Georgia,2005,male,15-24 years,5.0,358200.0
15415,Georgia,2005,male,25-34 years,13.0,305450.0
15416,Georgia,2005,male,35-54 years,29.0,565100.0
15417,Georgia,2005,male,5-14 years,2.0,305450.0
15418,Georgia,2005,male,55-74 years,15.0,331700.0
15419,Georgia,2005,male,75+ years,5.0,73700.0
15420,Georgia,2006,female,15-24 years,1.0,359100.0
15421,Georgia,2006,female,25-34 years,3.0,323850.0
15422,Georgia,2006,female,35-54 years,1.0,653300.0
15423,Georgia,2006,female,5-14 years,1.0,271600.0
15424,Georgia,2006,female,55-74 years,5.0,443850.0
15425,Georgia,2006,female,75+ years,2.0,155050.0
15426,Georgia,2006,male,15-24 years,7.0,366350.0
15427,Georgia,2006,male,25-34 years,13.0,313300.0
15428,Georgia,2006,male,35-54 years,18.0,574450.0
15429,Georgia,2006,male,5-14 years,1.0,291400.0
15430,Georgia,2006,male,55-74 years,16.0,335050.0
15431,Georgia,2006,male,75+ years,4.0,79200.0
15432,Georgia,2007,female,15-24 years,1.0,359400.0
15433,Georgia,2007,female,25-34 years,1.0,323950.0
15434,Georgia,2007,female,35-54 years,7.0,651500.0
15435,Georgia,2007,female,5-14 years,0.0,255950.0
15436,Georgia,2007,female,55-74 years,6.0,447350.0
15437,Georgia,2007,female,75+ years,5.0,161000.0
15438,Georgia,2007,male,15-24 years,7.0,367900.0
15439,Georgia,2007,male,25-34 years,14.0,315700.0
15440,Georgia,2007,male,35-54 years,29.0,573900.0
15441,Georgia,2007,male,5-14 years,0.0,277600.0
15442,Georgia,2007,male,55-74 years,24.0,337200.0
15443,Georgia,2007,male,75+ years,10.0,83450.0
15444,Georgia,2008,female,15-24 years,,355700.0
15445,Georgia,2008,female,25-34 years,,324250.0
15446,Georgia,2008,female,35-54 years,,649450.0
15447,Georgia,2008,female,5-14 years,,244450.0
15448,Georgia,2008,female,55-74 years,,450350.0
15449,Georgia,2008,female,75+ years,,167600.0
15450,Georgia,2008,male,15-24 years,,365400.0
15451,Georgia,2008,male,25-34 years,,318700.0
15452,Georgia,2008,male,35-54 years,,573550.0
15453,Georgia,2008,male,5-14 years,,267950.0
15454,Georgia,2008,male,55-74 years,,338950.0
15455,Georgia,2008,male,75+ years,,87500.0
15456,Georgia,2009,female,15-24 years,4.0,350000.0
15457,Georgia,2009,female,25-34 years,2.0,328450.0
15458,Georgia,2009,female,35-54 years,7.0,652950.0
15459,Georgia,2009,female,5-14 years,1.0,238250.0
15460,Georgia,2009,female,55-74 years,15.0,456000.0
15461,Georgia,2009,female,75+ years,10.0,172650.0
15462,Georgia,2009,male,15-24 years,20.0,360500.0
15463,Georgia,2009,male,25-34 years,24.0,324500.0
15464,Georgia,2009,male,35-54 years,48.0,579150.0
15465,Georgia,2009,male,5-14 years,3.0,262650.0
15466,Georgia,2009,male,55-74 years,36.0,343050.0
15467,Georgia,2009,male,75+ years,18.0,90600.0
15468,Georgia,2010,female,15-24 years,0.0,338800.0
15469,Georgia,2010,female,25-34 years,0.0,338000.0
15470,Georgia,2010,female,35-54 years,5.0,660000.0
15471,Georgia,2010,female,5-14 years,0.0,229200.0
15472,Georgia,2010,female,55-74 years,6.0,465100.0
15473,Georgia,2010,female,75+ years,5.0,180900.0
15474,Georgia,2010,male,15-24 years,11.0,351600.0
15475,Georgia,2010,male,25-34 years,16.0,337200.0
15476,Georgia,2010,male,35-54 years,29.0,590800.0
15477,Georgia,2010,male,5-14 years,1.0,254800.0
15478,Georgia,2010,male,55-74 years,32.0,350500.0
15479,Georgia,2010,male,75+ years,7.0,96900.0
15480,Georgia,2011,female,15-24 years,1.0,334600.0
15481,Georgia,2011,female,25-34 years,2.0,340800.0
15482,Georgia,2011,female,35-54 years,6.0,661400.0
15483,Georgia,2011,female,5-14 years,1.0,226900.0
15484,Georgia,2011,female,55-74 years,4.0,467400.0
15485,Georgia,2011,female,75+ years,1.0,184100.0
15486,Georgia,2011,male,15-24 years,12.0,348400.0
15487,Georgia,2011,male,25-34 years,8.0,341000.0
15488,Georgia,2011,male,35-54 years,25.0,593700.0
15489,Georgia,2011,male,5-14 years,0.0,252600.0
15490,Georgia,2011,male,55-74 years,23.0,352600.0
15491,Georgia,2011,male,75+ years,16.0,99100.0
15492,Georgia,2012,female,15-24 years,3.0,324000.0
15493,Georgia,2012,female,25-34 years,1.0,344400.0
15494,Georgia,2012,female,35-54 years,3.0,659300.0
15495,Georgia,2012,female,5-14 years,1.0,223200.0
15496,Georgia,2012,female,55-74 years,3.0,469400.0
15497,Georgia,2012,female,75+ years,2.0,191900.0
15498,Georgia,2012,male,15-24 years,11.0,337800.0
15499,Georgia,2012,male,25-34 years,19.0,345900.0
15500,Georgia,2012,male,35-54 years,26.0,596400.0
15501,Georgia,2012,male,5-14 years,0.0,249100.0
15502,Georgia,2012,male,55-74 years,23.0,355000.0
15503,Georgia,2012,male,75+ years,12.0,104500.0
15504,Georgia,2013,female,15-24 years,2.0,310500.0
15505,Georgia,2013,female,25-34 years,1.0,345600.0
15506,Georgia,2013,female,35-54 years,7.0,655700.0
15507,Georgia,2013,female,5-14 years,1.0,221800.0
15508,Georgia,2013,female,55-74 years,8.0,471700.0
15509,Georgia,2013,female,75+ years,4.0,201000.0
15510,Georgia,2013,male,15-24 years,13.0,325300.0
15511,Georgia,2013,male,25-34 years,20.0,348000.0
15512,Georgia,2013,male,35-54 years,41.0,594900.0
15513,Georgia,2013,male,5-14 years,2.0,249800.0
15514,Georgia,2013,male,55-74 years,33.0,358600.0
15515,Georgia,2013,male,75+ years,25.0,109700.0
15516,Georgia,2014,female,15-24 years,5.0,251400.0
15517,Georgia,2014,female,25-34 years,3.0,286500.0
15518,Georgia,2014,female,35-54 years,5.0,542700.0
15519,Georgia,2014,female,5-14 years,0.0,183700.0
15520,Georgia,2014,female,55-74 years,18.0,392200.0
